LaBr\d3\n:Ce (Q489)	Uncertainty	Energy (MeV)
2.1700	0.63365	0.13767
2.2050	0.61356	0.13687
2.2400	0.62212	0.14279
2.2750	0.59481	0.14075
2.3110	0.58588	0.14335
2.3470	0.56365	0.14291
2.3830	0.57139	0.15042
2.4190	0.54461	0.14917
2.4560	0.52936	0.15131
2.4930	0.50130	0.14981
2.5310	0.48124	0.15873
2.5690	0.46809	0.15439
2.6070	0.45363	0.14962
2.6450	0.42661	0.14072
2.6840	0.40460	0.13346
2.7230	0.38926	0.12840
2.7620	0.37478	0.12362
2.8010	0.35850	0.11825
2.8410	0.33885	0.11177
2.8810	0.31758	0.10475
2.9220	0.30441	0.10041
2.9630	0.29288	0.096610
3.0040	0.27043	0.089203
3.0480	0.24557	0.081003
3.0930	0.23049	0.076030
3.1380	0.22110	0.072933
3.1830	0.20699	0.068278
3.2290	0.19992	0.065947
3.2750	0.18679	0.061617
3.3220	0.17619	0.058120
3.3690	0.16854	0.055597
3.4160	0.15960	0.052646
3.4630	0.14908	0.049178
3.5110	0.13817	0.045578
3.5590	0.13126	0.043300
3.6070	0.12363	0.040782
3.6560	0.11624	0.038346
3.7050	0.10881	0.035893
3.7540	0.10365	0.034192
3.8040	0.095248	0.031421	
3.8540	0.091134	0.030064	
3.9040	0.085590	0.028235	
3.9550	0.081195	0.026786	
4.0060	0.077212	0.027443	
4.0570	0.073825	0.026240	
4.1090	0.069918	0.024851	
4.1610	0.066070	0.023483	
4.2130	0.064388	0.022886	
4.2660	0.058269	0.020711	
4.3190	0.057156	0.020315	
4.3720	0.052351	0.018607	
4.4260	0.049349	0.017541	
4.4800	0.047078	0.016733	
4.5340	0.044853	0.015942	
4.5880	0.041793	0.014855	
4.6430	0.038801	0.013791	
4.6990	0.036162	0.012853	
4.7540	0.034039	0.012099	
4.8100	0.031656	0.011252	
4.8660	0.029606	0.010523	
4.9230	0.027621	0.0098177	
4.9800	0.025680	0.0091278	
5.0370	0.024054	0.0085499	
5.0940	0.022478	0.0079901	
5.1520	0.020622	0.0073303	
5.2100	0.019143	0.0068044	
5.2690	0.018026	0.0064077	
5.3280	0.016752	0.0059546	
5.3870	0.015511	0.0055136	
5.4460	0.014295	0.0050815	
5.5060	0.013402	0.0047638	
5.5660	0.012388	0.0044033	
5.6270	0.011412	0.0040567	
5.6870	0.010622	0.0037756	
5.7480	0.0096595	0.0034336	
5.8100	0.0089999	0.0031992	
5.8710	0.0083096	0.0029538	
5.9340	0.0076444	0.0027173	
5.9960	0.0071385	0.0025375	
6.0590	0.0066074	0.0023488	
6.1220	0.0061516	0.0021868	
6.1850	0.0056182	0.0019971	
6.2490	0.0052484	0.0018657	
6.3130	0.0048511	0.0017245	
6.3770	0.0044982	0.0015990	
6.4420	0.0040379	0.0014354	
6.5070	0.0037970	0.0013498	
6.5720	0.0035210	0.0012517	
6.6380	0.0031790	0.0011301	
6.7040	0.0029410	0.0010455	
6.7700	0.0026844	0.00095430	
6.8370	0.0024835	0.00088285	
6.9040	0.0023036	0.00081893	
6.9710	0.0021111	0.00075048	
7.0380	0.0019627	0.00069776	
7.1060	0.0017587	0.00062519	
7.1750	0.0016537	0.00058787	
7.2400	0.0016166	0.00057471	
7.3060	0.0014978	0.00053246	
7.3710	0.0013721	0.00048781				
7.4370	0.0012487	0.00044394				
7.5040	0.0011644	0.00041395				
