Energy (MeV)	LaBr\d3\n:Ce (2987)	Uncertainty
1.8640	0.82332	0.11072
1.8880	0.80185	0.10942
1.9110	0.77124	0.10682
1.9350	0.76132	0.10720
1.9590	0.73311	0.10504
1.9830	0.70149	0.10239
2.0080	0.70324	0.10476
2.0320	0.73329	0.11151
2.0560	0.70621	0.10975
2.0810	0.68197	0.10852
2.1060	0.66035	0.10772
2.1310	0.64676	0.10827
2.1560	0.62231	0.10702
2.1810	0.61205	0.10825
2.2060	0.57728	0.10510
2.2320	0.56725	0.10655
2.2570	0.54943	0.10645
2.2830	0.52580	0.10531
2.3090	0.51297	0.10630
2.3350	0.50181	0.10768
2.3610	0.48658	0.10821
2.3870	0.46914	0.10821
2.4140	0.45662	0.10947
2.4400	0.43895	0.10930
2.4670	0.41945	0.10870
2.4940	0.40431	0.10911
2.5210	0.39064	0.11753
2.5480	0.38079	0.11457
2.5750	0.37263	0.11211
2.6020	0.39297	0.11823
2.6300	0.38052	0.11913
2.6570	0.36890	0.11550
2.6850	0.35427	0.11092
2.7130	0.34258	0.10726
2.7410	0.33356	0.10443
2.7690	0.32280	0.10106
2.7970	0.30712	0.096153
2.8260	0.29645	0.092815
2.8540	0.28594	0.089525
2.8830	0.27167	0.085056
2.9120	0.26114	0.081758
2.9410	0.25423	0.079597
2.9700	0.24685	0.077286
2.9990	0.23914	0.074871
3.0280	0.22807	0.071404
3.0580	0.22166	0.069399
3.0870	0.21323	0.066760
3.1170	0.20386	0.063827
3.1470	0.19729	0.061769
3.1770	0.18964	0.059373
3.2070	0.18387	0.057567
3.2370	0.17357	0.054343
3.2680	0.18379	0.057543
3.2980	0.17687	0.055377
3.3290	0.16741	0.052413
3.3600	0.16148	0.050556
3.3910	0.15530	0.048624
3.4220	0.14990	0.046930
3.4530	0.14540	0.045523
3.4840	0.13948	0.043669
3.5160	0.13419	0.042013
3.5470	0.13001	0.040705
3.5790	0.12293	0.038487
3.6110	0.11776	0.036870
3.6430	0.11390	0.035662
3.6750	0.10911	0.034161
3.7070	0.10413	0.032601
3.7400	0.099763	0.031235
3.7720	0.095756	0.029980
3.8050	0.089955	0.028164
3.8380	0.086723	0.027152
3.8710	0.082906	0.025957
3.9040	0.080247	0.025125
3.9370	0.076675	0.024006
3.9700	0.073104	0.022888
4.0040	0.069731	0.021832
4.0370	0.067888	0.021255
4.0710	0.064653	0.020242
4.1050	0.062067	0.019433
4.1390	0.059446	0.018612
4.1730	0.056865	0.017804
4.2070	0.053934	0.016886
4.2420	0.051698	0.016186
4.2760	0.049550	0.015514
4.3110	0.046398	0.014527
4.3460	0.040647	0.012726
4.3810	0.038867	0.012169
4.4160	0.037039	0.011597
4.4510	0.035510	0.011118
4.4860	0.034180	0.010702
4.5210	0.032174	0.010074
4.5570	0.030428	0.0095267
4.5930	0.029143	0.0091246
4.6290	0.027936	0.0087465
4.6650	0.026650	0.0083441
4.7010	0.025581	0.0080093
4.7370	0.024542	0.0076840
4.7730	0.023316	0.0073001
4.8100	0.022326	0.0069902
4.8460	0.021470	0.0067221
4.8830	0.020168	0.0063145
4.9200	0.019275	0.0060350
4.9570	0.018491	0.0061474
4.9940	0.017512	0.0058220
5.0310	0.016503	0.0054867
5.0690	0.015692	0.0052168
5.1060	0.014990	0.0049837
5.1440	0.014099	0.0046872
5.1820	0.013533	0.0044992
5.2200	0.012829	0.0042651
5.2580	0.012207	0.0040585
5.2960	0.011689	0.0038861
5.3340	0.011008	0.0036596
5.3730	0.010512	0.0034947
5.4110	0.0099798	0.0033179
5.4500	0.0093962	0.0031239
5.4890	0.0089857	0.0029874
5.5280	0.0085983	0.0028586
5.5670	0.0081789	0.0027192
5.6060	0.0077092	0.0025630
5.6460	0.0072839	0.0024216
5.6850	0.0070781	0.0023532
5.7250	0.0066350	0.0022059
5.7650	0.0063594	0.0021143
5.8040	0.0060820	0.0020221
5.8440	0.0056632	0.0018828
5.8850	0.0053884	0.0017914
5.9250	0.0051771	0.0017212
5.9650	0.0048435	0.0016103
6.0060	0.0045289	0.0015057
6.0470	0.0043619	0.0014502
6.0870	0.0041161	0.0013685
6.1280	0.0038696	0.0012865
6.1690	0.0036325	0.0012077
6.2110	0.0034348	0.0011420
6.2520	0.0033278	0.0011064
6.2930	0.0031048	0.0010322
6.3350	0.0029151	0.00096916
6.3770	0.0027568	0.00091655
6.4190	0.0026204	0.00087118
6.4610	0.0024989	0.00083079
6.5030	0.0023718	0.00078856
6.5450	0.0022529	0.00074902
6.5870	0.0021228	0.00070577
6.6300	0.0020087	0.00066784
6.6720	0.0019024	0.00063249
6.7150	0.0018025	0.00059927
6.7580	0.0017035	0.00056636
6.8010	0.0016183	0.00053802
6.8440	0.0015044	0.00050017
6.8880	0.0014364	0.00051397
6.9310	0.0013631	0.00048776
6.9750	0.0012851	0.00045983
7.0180	0.0012259	0.00043867
7.0620	0.0011439	0.00040932
7.1060	0.0010875	0.00038914
7.1500	0.0010202	0.00036504
7.1940	0.00095572	0.00034198
7.2390	0.00090220	0.00032283
7.2830	0.00085396	0.00030557
7.3280	0.00080092	0.00028659
7.3720	0.00075724	0.00027096
7.4170	0.00071318	0.00025519
7.4620	0.00067298	0.00024081
7.5070	0.00062674	0.00022426
7.5530	0.00059451	0.00021273
7.5980	0.00055875	0.00019993
7.6440	0.00052871	0.00018918
7.6890	0.00049806	0.00017822
7.7350	0.00046547	0.00016656
7.7810	0.00044385	0.00015882
7.8270	0.00041872	0.00014983
7.8730	0.00039777	0.00014233
7.9190	0.00037160	0.00013297
7.9660	0.00034947	0.00012505
8.0120	0.00033241	0.00011894
8.0590	0.00031001	0.00011093
8.1060	0.00029264	0.00010471
8.1530	0.00027749	9.9292e-05
8.2000	0.00025896	9.2664e-05
8.2470	0.00024623	8.8109e-05
8.2940	0.00022857	8.1790e-05
8.3420	0.00021771	7.7903e-05
8.3890	0.00020581	7.3645e-05
8.4370	0.00019289	6.9023e-05
8.4850	0.00018067	6.4649e-05
8.5330	0.00017060	6.1044e-05
8.5810	0.00016117	5.7672e-05
8.6290	0.00015023	5.3758e-05
8.6780	0.00014171	5.0708e-05
8.7260	0.00013213	4.7279e-05
8.7750	0.00012509	4.4760e-05
8.8230	0.00011774	4.2131e-05
8.8720	0.00010932	3.9118e-05
8.9210	0.00010328	3.6955e-05
8.9700	9.5767e-05	3.4268e-05
