Energy (MeV)	LaBr\d3\n:Ce (Q491)	Uncertainty
2.1700	0.59042	0.13335
2.2050	0.58164	0.13462
2.2400	0.57189	0.13592
2.2750	0.55630	0.13604
2.3110	0.53191	0.13422
2.3470	0.52053	0.13583
2.3830	0.50519	0.13660
2.4190	0.48226	0.13540
2.4560	0.45608	0.13337
2.4930	0.43925	0.13404
2.5310	0.42237	0.14074
2.5690	0.41773	0.13919
2.6070	0.41154	0.13713
2.6450	0.38767	0.12918
2.6840	0.37912	0.12633
2.7230	0.36535	0.12174
2.7620	0.35235	0.11741
2.8010	0.33762	0.11250
2.8410	0.31965	0.10652
2.8810	0.30010	0.10000
2.9220	0.28817	0.09602
2.9630	0.27775	0.092554
3.0040	0.25691	0.085609
3.0480	0.23373	0.077887
3.0930	0.21981	0.073247
3.1380	0.21126	0.070400
3.1830	0.19816	0.066034
3.2290	0.19177	0.063906
3.2750	0.17954	0.059829
3.3220	0.16969	0.056547
3.3690	0.16265	0.054203
3.4160	0.15433	0.051429
3.4630	0.14445	0.048139
3.5110	0.13416	0.044707
3.5590	0.12771	0.042561
3.6070	0.12053	0.040168
3.6560	0.11357	0.037848
3.7050	0.10653	0.035502
3.7540	0.10170	0.033891
3.8040	0.093657 0.031212
3.8540	0.089804 0.029928
3.9040	0.085730 0.028571
3.9550	0.080359 0.026781
4.0060	0.078743 0.028234
4.0570	0.073386 0.026314
4.1090	0.069659 0.024977
4.1610	0.067780 0.024303
4.2130	0.064436 0.023105
4.2660	0.058446 0.020957
4.3190	0.057461 0.020604
4.3720	0.052750 0.018914
4.4260	0.049842 0.017872
4.4800	0.047658 0.017089
4.5340	0.045511 0.016319
4.5880	0.042505 0.015241
4.6430	0.039556 0.014184
4.6990	0.036954 0.013251
4.7540	0.034868 0.012503
4.8100	0.032505 0.011656
4.8660	0.030473 0.010927
4.9230	0.028499 0.010219
4.9800	0.026562 0.0095246
5.0370	0.024941 0.0089435
5.0940	0.023365 0.0083784
5.1520	0.021489 0.0077058
5.2100	0.019997 0.0071709
5.2690	0.018879 0.0067699
5.3280	0.017589 0.0063073
5.3870	0.016328 0.0058550
5.4460	0.015086 0.0054098
5.5060	0.014180 0.0050847
5.5660	0.013140 0.0047121
5.6270	0.012138 0.0043526
5.6870	0.011326 0.0040615
5.7480	0.010327 0.0037033
5.8100	0.0096478 0.0034597
5.8710	0.0089311 0.0032028
5.9340	0.0082385 0.0029543
5.9960	0.0077138 0.0027662
6.0590	0.0071594 0.0025674
6.1220	0.0066836 0.0023968
6.1850	0.0061206 0.0021949
6.2490	0.0057335 0.0020561
6.3130	0.0053141 0.0019057
6.3770	0.0049411 0.0017720
6.4420	0.0044479 0.0015951
6.5070	0.0041943 0.0015041
6.5720	0.0039003 0.0013987
6.6380	0.0035315 0.0012664
6.7040	0.0032764 0.0011750
6.7700	0.0029991 0.0010755
6.8370	0.0027826 0.00099790
6.9040	0.0025885 0.00092832
6.9710	0.0023790 0.00085319
7.0380	0.0022183 0.00079553
7.1060	0.0019934 0.00071490
7.1750	0.0018800 0.00067422
7.2400	0.0018430 0.00066096
7.3060	0.0017124 0.00061413
